NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1699903682,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1730217571,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1992290886,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1710241583,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1982693297,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1043835580,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1255062683,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1215382536,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1083695803,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1093058463,455212355,ein,ffs,CPT,99213,negotiated,60.74,professional
1427098276,386005601,ein,ffs,CPT,99213,negotiated,174.1,professional
1649290826,223537847,ein,ffs,CPT,99213,negotiated,54.45,professional
1386611556,223537847,ein,ffs,CPT,99213,negotiated,54.45,professional
1528058096,223537847,ein,ffs,CPT,99213,negotiated,54.45,professional
1639271828,201546440,ein,ffs,CPT,99213,negotiated,62.01,professional
1790886992,201546440,ein,ffs,CPT,99213,negotiated,62.01,professional
1609853951,203303638,ein,ffs,CPT,99213,negotiated,71.54,professional
1740792480,760009637,ein,ffs,CPT,99213,negotiated,102.53,professional
1952528572,383348654,ein,ffs,CPT,99213,negotiated,94.07,professional
1679537278,383348654,ein,ffs,CPT,99213,negotiated,94.07,professional
1578527602,383348654,ein,ffs,CPT,99213,negotiated,94.07,professional
1396060232,383348654,ein,ffs,CPT,99213,negotiated,94.07,professional
1477839785,383348654,ein,ffs,CPT,99213,negotiated,94.07,professional
1598735094,421226181,ein,ffs,CPT,99213,negotiated,43.01,professional
1699179135,43730746,ein,ffs,CPT,99213,negotiated,145.5,professional
1437592151,452230140,ein,ffs,CPT,99213,negotiated,92.65,professional
1376689778,411266009,ein,ffs,CPT,99213,negotiated,37.79,professional
1215065867,270452660,ein,ffs,CPT,99213,negotiated,72.41,professional
1346621794,833718590,ein,ffs,CPT,99213,negotiated,81.56,professional
1184771891,463982351,ein,ffs,CPT,99213,negotiated,57.09,professional
1972502516,251387297,ein,ffs,CPT,99213,negotiated,66.76,professional
1831146745,232189809,ein,ffs,CPT,99213,negotiated,45.0,professional
